name,symptoms
Цитомегаловирусная инфекция,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Различают насколько вариантов течения ЦМВ-инфекции.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  1) ЦМВ-инфекция у лиц с нормальным иммунитетом.
  <br/>
  Чаще всего первичное инфицирование проявляется мононуклеозоподобным синдромом. Инкубационный период составляет 20-60 суток, продолжительность заболевания 2-6 недель. Как правило, отмечается лихорадка, слабость, увеличение лимфатических узлов, боли в мышцах. При достаточном иммунном ответе организм вырабатывает антитела против вируса и заболевание заканчивается самоизлечением. Выделение вирусов с биологическим жидкостями продолжается месяцы и годы после выздоровления. После первичного инфицирования цитомегаловирус может находится в организме десятки лет в неактивной форме или самопроизвольно исчезать из организма. В среднем у 90-95% взрослого населения обнаруживаются антитела класса G к ЦМВ.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  2) ЦМВ-инфекция у лиц с ослабленным иммунитетом (пациенты с лимфопролиферативными заболеваниями, гемобластозами, ВИЧ-инфицированные, пациенты после трансплантации внутренних органов или костного мозга).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У таких пациентов может происходить генерализация инфекции, поражаются печень, почки, легкие, сетчатка глаза, поджелудочная железа и другие органы.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  3) Врожденная цитомегаловирусная инфекция.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Внутриутробное инфицирование плода на сроке до 12 недель, как правило, заканчивается выкидышем, при заражении после 12 недель у ребенка может развиться тяжелое заболевание – врожденная цитомегалия. По статистике врожденной цитомегалией страдают примерно 5% зараженных внутриутробно новорожденных. К ее симптомам можно отнести недоношенность, увеличение печени, почек, селезенки, хориоретинит, пневмонию. У детей, перенесших внутриутробно ЦМВ-инфекцию и избежавших генерализации процесса, может выявляется задержка психомоторного развития, тугоухость, нарушения зрения, аномалии развития зубов.
 </p>
</div>
"
Чума,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Различают достаточно много разновидностей чумы, но чаще всего встречается бубонная форма.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Для чумы характерно резкое, внезапное начало с сильнейшего озноба и повышения температуры тела. К ним присоединяется головокружение, головная боль, слабость, мышечные боли, тошнота и рвота.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Страдает нервная система больные напуганы, беспокойны, могут бредить, имеют тенденцию куда-то убежать.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Нарушается координация движений, походка, речь.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Для бубонной чумы характерно развитие лимфаденита или чумного бубона. В области его появления пациент испытывает сильную боль. Постепенно образуется бубон плотная опухоль с нечеткими краями, резко болезненная при прикосновении. Кожа над бубоном вначале обычного цвета, горячая на ощупь, затем становится темно-красной, с синюшным оттенком, лоснится.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Так же происходит увеличение других групп лимфатических узлов формируются вторичные бубоны.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При отсутствии лечения бубоны нагнаиваются, затем вскрываются и трансформируются в свищи. Затем постепенно происходит их заживление.
 </p>
</div>
"
Энтеробиоз,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У некоторых детей симптомы вообще не проявляются. В остальных случаях может присутствовать следующая симптоматика:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   усталость;
  </li>
  <li>
   беспокойный сон;
  </li>
  <li>
   зуд в области анального отверстия (ребенок все время будет стараться почесаться);
  </li>
  <li>
   скрежет зубами;
  </li>
  <li>
   ночное недержание мочи;
  </li>
  <li>
   почёсывание носа;
  </li>
  <li>
   потеря аппетита.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В целом
  <strong>
   острицы
  </strong>
  достаточно безвредны и не вызывают сильных повреждений организма. Однако зуд будет мешать ребенку спать, он не сможет достаточно высыпаться, а расчесывание области анального отверстия только усугубляет инфекцию и способствует повторному заражению. Сами по себе острицы не могут исчезнуть, и иммунитет к ним тоже не вырабатывается, соответственно, чтобы полностью избавиться от них, нужно проводить лечение.
 </p>
</div>
"
Эхинококкоз,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Заболевание как правило длительно протекает бессимптомно. Часто эхинококковые кисты обнаруживают во время проведения профилактического обследования при рентгенологическом или ультразвуковом исследовании. При увеличении кисты в размерах появляются симптомы, связанные со сдавлением близлежащих органов и тканей. При расположении в печени появляются боли различной интенсивности в правом подреберье, чувство тяжести, давления, слабость, недомогание, быстрая утомляемость, снижение активности, иногда аллергические реакции, желтуха. Отмечается увеличение печени. При расположении эхинококковой кисты в легком возникают боли в грудной клетке, кашель, одышка. При поражении эхинококком головного мозга наблюдаются головная боль, головокружение, рвота. Возможны параличи, парезы, психические расстройства, судорожные припадки.
 </p>
</div>
"
Аневризма аорты,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Признаки аневризмы аорты у разных людей могут сильно различаться. Они зависят от размеров аневризмы и ее расположения (поражение может захватывать часть аорты, непосредственно отходящую от сердца, отрезки, расположенные в грудной клетке и в животе). Сама по себе аневризма не сопровождается симптомами, но, увеличиваясь в размерах, она сдавливает соседние органы.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У некоторых пациентов проявления полностью отсутствуют. Заболевание случайно обнаруживают во время профилактического осмотра.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Наиболее распространенные симптомы аневризмы аорты:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   Если аневризма находится близко к сердцу, то она сдавливает питающие его сосуды. Возникают боли в груди, как при стенокардии.
  </li>
  <li>
   При сдавлении пищевода нарушается прохождение пищи. Во время еды ощущается дискомфорт, возникает кашель, пища выталкивается через нос или через рот.
  </li>
  <li>
   При сдавлении нервов гортани появляется постоянный «лающий» кашель, голос становится осиплым.
  </li>
  <li>
   Аневризма в брюшной части аорты может сдавливать нервные корешки, выходящие из позвоночника. При этом возникают боли в спине и в ногах, как при радикулите.
  </li>
  <li>
   При сдавлении кишки и других внутренних органов живота возникают боли, обычно вокруг пупка.
  </li>
 </ul>
</div>
"
Аритмии,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   ощущение сердцебиения;
  </li>
  <li>
   слабость, головокружение;
  </li>
  <li>
   боль или давление в груди;
  </li>
  <li>
   одышка или частое дыхание;
  </li>
  <li>
   обмороки и потеря сознания.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Часто пациенты длительное время не испытывают никаких неудобств, связанных с заболеванием и поздно обращаются за медицинской помощью.
 </p>
</div>
"
Артериальная гипертензия,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Повышение артериального давления никак не проявляется. Мелькание мушек перед глазами или боль в затылке, о которых часто пишут ─ это не симптомы артериальной гипертензии. Единственный способ её выявить – это периодически измерять своё давление.
 </p>
</div>
"
Атеросклероз,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Эти изменения чаще локализируются в аорте, сердечных, мозговых, почечных артериях и артериях конечностей, чаще нижних. Картина болезни и жалобы больного зависят от поражения тех или иных артерий.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Так атеросклероз коронарных артерий (сосудов сердца) очень часто проявляется в форме
  <span>
   стенокардии,
  </span>
  инфаркта. В основе патологического процесса, т.е. заболевания, лежит нарушение соответствия между потребностью сердца в кровоснабжении и его реальным осуществлением. Это несоответствие может возникнуть при сохраняющемся на определенном уровне кровоснабжении миокарда, но резко возросшей потребности в нем (стенокардия напряжения или покоя) или при сниженном кровоснабжении (
  <span>
   инфаркт миокарда
  </span>
  ).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Нередко тяжелые формы атеросклероза аорты могут протекать бессимптомно. У больного могут возникать давящие или жгучие боли за грудиной, отдающие в обе руки, шею, спину, верхнюю часть живота. Но в отличие от стенокардии эти боли держатся длительно, то усиливаясь, то ослабевая.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При поражении почечных сосудов наступает тяжелая артериальная гипертония. Атеросклероз артерий головного мозга проявляется снижением работоспособности (особенно умственной), снижением памяти, активного внимания, быстрой утомляемостью. Со временем появляется головокружение, бессонница, больные становятся суетливыми, навязчивыми, придирчивыми. У них снижается интеллект. Осложнением атеросклероза мозговых артерий является нарушение мозгового кровообращения кровоизлияния (
  <span>
   инсульт
  </span>
  ), тромбозы.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Атеросклероз артерий конечностей, чаще нижних, проявляется в икроножных мышцах при ходьбе («
  <span>
   перемежающаяся хромота
  </span>
  »). Появляются зябкость и похолодание конечностей.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Таким образом, атеросклероз приводит к развитию большинства современных «болезней цивилизации».
 </p>
</div>
"
Атриовентрикулярная блокада,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Существует три степени атриовентрикулярной блокады. Каждая из них проявляется собственными симптомами.
  <br/>
  При первой степени атриовентрикулярной блокады нервные импульсы из предсердий в желудочки проводятся медленнее, чем в норме. Это никак не сказывается на состоянии человека: он чувствует себя совершенно нормально. Изменения обнаруживают случайно во время проведения электрокардиографии. Если частота сердечных сокращений падает ниже 60, то может беспокоить слабость, повышенная утомляемость, одышка, боли за грудиной.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При второй степени атриовентрикулярной блокады некоторые импульсы из предсердий в желудочки не доходят. То есть предсердия отправляют кровь к желудочкам, а желудочки не прокачивают ее к органам и тканям. Когда такое происходит, человек неожиданно чувствует слабость, головокружение, у него темнеет в глазах. Может возникнуть одышка, боль за грудиной, потеря сознания.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При третьей степени атриовентрикулярной блокады импульсы от предсердий к желудочкам не проходят совсем. Желудочки начинают сами генерировать импульсы и сокращаться с частотой 40 ударов в минуту. Возникают те же симптомы, что при второй степени блокады, но они выражены сильнее. Если частота сердечных сокращений падает до 20 ударов в минуту и ниже, то мозг перестает получать необходимое количество кислорода. Человек теряет сознание, его кожа становится синюшной.
 </p>
</div>
"
Болезни сердца,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   одышка при небольшой физической нагрузке или в покое,
  </li>
  <li>
   слабость, низкая выносливость,
  </li>
  <li>
   сердцебиение,
  </li>
  <li>
   сухой кашель,
  </li>
  <li>
   периоды учащённого и неровного дыхания,
  </li>
  <li>
   удушье, сжимающая боль в груди,
  </li>
  <li>
   тупая боль и дискомфорт в области печени или сердца,
  </li>
  <li>
   отеки ног (особенно к вечеру),
  </li>
  <li>
   ночью больные стараются приподнять верхнюю часть тела (подложив подушки), так им легче дышать,
  </li>
  <li>
   беспокойный сон, бессонница,
  </li>
  <li>
   чем слабее сердце, тем сильнее отекают ноги, появляется боль в груди и спине, дыхание становится крайне затруднённым, пока человек не ляжет.
  </li>
 </ul>
</div>
"
